Do,Ph,ORP,EC,TDS,Water_Temp,CDO,CpH,CORP,CEC,CTDS,CWT,wqc
4.288,7.138,269.497,273.118,197.459,27.455,2,3,2,3,3,4,Polluted
4.628,7.385,296.419,277.419,197.459,27.357,2,3,2,3,3,4,Polluted
4.454,7.275,323.423,1556.989,205.279,27.943,2,3,3,1,3,4,Polluted
4.41,7.11,350.288,294.624,201.369,27.65,2,3,3,3,3,4,Unpolluted
4.706,7.11,377.276,249.462,207.234,27.748,2,3,3,3,3,4,Unpolluted
4.41,7.385,404.125,255.914,207.234,27.748,2,3,3,3,3,4,Unpolluted
4.749,7.275,102.718,1561.29,193.548,27.259,2,3,2,1,3,4,Polluted
4.671,7.138,75.885,1565.591,211.144,27.748,2,3,2,1,3,4,Polluted
4.628,7.385,48.97,275.269,197.459,27.552,2,3,2,3,3,4,Polluted
4.749,7.385,21.966,503.226,207.234,27.161,2,3,1,4,3,4,Polluted
4.749,7.193,4.964,275.269,218.964,27.064,2,3,1,3,3,4,Polluted
4.454,7.193,31.96,1546.237,207.234,27.943,2,3,2,1,3,4,Polluted
4.749,7.138,58.874,1554.839,218.964,27.455,2,3,2,1,3,4,Polluted
4.628,7.193,85.748,763.441,197.459,27.552,2,3,2,4,3,4,Polluted
4.173,7.193,112.662,1574.193,207.234,28.139,2,3,2,1,3,4,Polluted
4.379,7.22,139.625,234.409,211.144,28.139,2,3,2,3,3,4,Polluted
4.749,7.193,166.515,255.914,213.099,27.455,2,3,2,3,3,4,Polluted
4.214,7.385,193.487,262.366,193.548,28.237,2,3,2,3,3,4,Polluted
4.749,7.138,220.368,238.71,203.324,27.455,2,3,2,3,3,4,Polluted
4.749,7.22,247.25,277.419,197.459,27.455,2,3,2,3,3,4,Polluted
4.454,7.275,274.156,1550.538,207.234,27.943,2,3,2,1,3,4,Polluted
4.255,7.193,301.111,1541.935,203.324,28.334,2,3,3,1,3,4,Polluted
4.541,7.33,328.034,1556.989,197.459,27.65,2,3,3,1,3,4,Polluted
4.255,7.193,354.948,266.667,207.234,28.041,2,3,3,3,3,4,Unpolluted
4.41,7.138,381.911,283.871,211.144,27.846,2,3,3,3,3,4,Unpolluted
4.749,7.138,125.111,389.247,211.144,27.455,2,3,2,3,3,4,Polluted
4.749,7.275,98.156,1559.14,203.324,27.455,2,3,2,1,3,4,Polluted
4.628,7.193,71.184,279.57,207.234,27.259,2,3,2,3,3,4,Polluted
4.628,7.193,44.343,1537.634,211.144,27.748,2,3,2,1,3,4,Polluted
4.541,7.193,17.405,1548.387,203.324,27.748,2,3,1,1,3,4,Polluted
4.628,7.385,9.583,668.817,211.144,27.65,2,3,1,4,3,4,Polluted
4.497,7.44,36.473,258.065,193.548,27.943,2,3,2,3,3,4,Polluted
4.628,7.165,63.412,234.409,197.459,27.064,2,3,2,3,3,4,Polluted
4.671,7.275,90.342,234.409,211.144,27.65,2,3,2,3,3,4,Polluted
4.749,7.22,117.256,249.462,207.234,27.455,2,3,2,3,3,4,Polluted
4.288,7.138,144.163,1593.548,207.234,27.846,2,3,2,1,3,4,Polluted
3.893,7.275,171.036,251.613,211.144,28.041,1,3,2,3,3,4,Polluted
4.497,7.33,197.983,279.57,207.234,27.259,2,3,2,3,3,4,Polluted
4.497,7.193,224.938,1554.839,218.964,27.846,2,3,2,1,3,4,Polluted
4.158,7.138,251.771,1561.29,201.369,27.748,2,3,2,1,3,4,Polluted
4.332,7.275,278.799,1286.022,197.459,27.259,2,3,2,4,3,4,Polluted
4.332,7.303,305.779,1559.14,207.234,27.259,2,3,3,1,3,4,Polluted
4.589,7.138,332.701,967.742,203.324,26.868,2,3,3,4,3,4,Unpolluted
4.367,7.413,359.681,283.871,218.964,27.552,2,3,3,3,3,4,Unpolluted
4.288,7.193,386.619,279.57,197.459,27.552,2,3,3,3,3,4,Unpolluted
4.114,7.193,120.329,1556.989,197.459,27.65,2,3,2,1,3,4,Polluted
4.288,7.193,93.39,230.108,197.459,27.65,2,3,2,3,3,4,Polluted
4.367,7.138,66.403,255.914,207.234,27.552,2,3,2,3,3,4,Polluted
4.497,7.22,39.431,1133.333,211.144,27.846,2,3,2,4,3,4,Polluted
4.589,7.193,12.566,281.72,207.234,26.966,2,3,1,3,3,4,Polluted
4.201,7.193,14.291,1561.29,197.459,27.748,2,3,1,1,3,4,Polluted
4.332,7.44,41.255,247.312,207.234,27.259,2,3,2,3,3,4,Polluted
4.367,7.248,68.283,1240.86,197.459,27.064,2,3,2,4,3,4,Polluted
4.332,7.193,95.156,243.011,201.369,27.064,2,3,2,3,3,4,Polluted
4.367,7.193,122.12,275.269,211.144,27.064,2,3,2,3,3,4,Polluted
4.367,7.22,149.067,1552.688,189.638,27.161,2,3,2,1,3,4,Polluted
4.332,7.22,176.013,1552.688,218.964,27.064,2,3,2,1,3,4,Polluted
4.332,7.248,203.017,1576.344,207.234,27.748,2,3,2,1,3,4,Polluted
4.367,7.138,229.915,266.667,207.234,27.552,2,3,2,3,3,4,Polluted
4.497,7.44,256.887,1423.656,197.459,27.064,2,3,2,4,3,4,Polluted
4.856,7.193,283.939,1584.946,207.234,26.966,2,3,2,1,3,4,Polluted
4.497,7.303,310.878,225.806,197.459,27.846,2,3,3,3,3,4,Unpolluted
4.367,7.22,337.833,251.613,211.144,27.357,2,3,3,3,3,4,Unpolluted
4.288,7.138,364.78,279.57,207.234,27.552,2,3,3,3,3,4,Unpolluted
4.367,7.248,391.8,1567.742,207.234,27.161,2,3,3,1,3,4,Polluted
4.497,7.193,115.099,277.419,211.144,27.65,2,3,2,3,3,4,Polluted
4.071,7.44,88.161,1567.742,203.324,27.748,2,3,2,1,3,4,Polluted
4.332,7.33,61.206,724.731,205.279,27.552,2,3,2,4,3,4,Polluted
4.41,7.44,34.202,251.613,218.964,27.552,2,3,2,3,3,4,Polluted
4.367,7.33,7.23,270.968,203.324,27.161,2,3,1,3,3,4,Polluted
4.367,7.468,19.717,1591.398,207.234,27.65,2,3,1,1,3,4,Polluted
4.071,7.22,46.647,1584.946,207.234,27.846,2,3,2,1,3,4,Polluted
4.332,7.248,73.561,262.366,207.234,27.064,2,3,2,3,3,4,Polluted
4.288,7.248,100.468,1550.538,207.234,27.65,2,3,2,1,3,4,Polluted
4.332,7.275,127.415,1550.538,193.548,27.552,2,3,2,1,3,4,Polluted
4.288,7.22,154.313,1561.29,197.459,27.259,2,3,2,1,3,4,Polluted
4.288,7.22,181.219,1572.043,207.234,27.943,2,3,2,1,3,4,Polluted
4.201,7.44,208.1,260.215,201.369,27.455,2,3,2,3,3,4,Polluted
4.245,7.248,235.08,1548.387,211.144,27.064,2,3,2,1,3,4,Polluted
4.288,7.44,261.97,245.161,207.234,27.552,2,3,2,3,3,4,Polluted
4.114,7.193,288.908,690.323,218.964,27.455,2,3,2,4,3,4,Polluted
4.332,7.248,315.798,238.71,201.369,27.259,2,3,3,3,3,4,Unpolluted
4.201,7.248,342.778,1070.968,203.324,27.748,2,3,3,4,3,4,Unpolluted
4.201,7.248,369.733,1391.398,197.459,27.259,2,3,3,4,3,4,Unpolluted
4.288,7.248,396.688,240.86,207.234,27.455,2,3,3,3,3,4,Unpolluted
4.114,7.44,110.212,1544.086,201.369,27.259,2,3,2,1,3,4,Polluted
4.158,7.33,83.249,1258.064,207.234,27.748,2,3,2,4,3,4,Polluted
4.288,7.248,56.334,264.516,207.234,27.455,2,3,2,3,3,4,Polluted
4.245,7.468,29.306,262.366,207.234,27.161,2,3,2,3,3,4,Polluted
4.245,7.248,2.335,262.366,203.324,27.259,2,3,1,3,3,4,Polluted
4.158,7.275,24.596,1541.935,193.548,27.846,2,3,1,1,3,4,Polluted
4.288,7.468,51.551,989.247,218.964,27.357,2,3,2,4,3,4,Polluted
4.497,7.44,78.482,675.269,207.234,26.868,2,3,2,4,3,4,Polluted
4.245,7.248,105.42,283.871,207.234,27.357,2,3,2,3,3,4,Polluted
4.071,7.33,132.343,1081.72,218.964,27.943,2,3,2,4,3,4,Polluted
4.158,7.275,159.29,1550.538,197.459,27.748,2,3,2,1,3,4,Polluted
4.288,7.248,186.196,1548.387,197.459,27.552,2,3,2,1,3,4,Polluted
4.405,7.385,213.11,240.86,207.234,26.966,2,3,2,3,3,4,Polluted
4.288,7.248,239.976,840.86,207.234,27.357,2,3,2,4,3,4,Polluted
4.543,7.303,266.963,1567.742,207.234,26.868,2,3,2,1,3,4,Polluted
3.984,7.248,293.951,1550.538,203.324,27.552,1,3,2,1,3,4,Polluted
4.245,7.248,320.898,1537.634,203.324,27.259,2,3,3,1,3,4,Polluted
4.405,7.44,347.788,236.559,203.324,26.77,2,3,3,3,3,4,Unpolluted
4.158,7.248,374.677,1552.688,211.144,27.65,2,3,3,1,3,4,Polluted
4.114,7.413,401.6,761.29,203.324,27.65,2,3,3,4,3,4,Unpolluted
4.158,7.248,105.349,270.968,207.234,27.748,2,3,2,3,3,4,Polluted
4.288,7.413,78.418,268.817,193.548,27.552,2,3,2,3,3,4,Polluted
4.497,7.551,51.496,1546.237,209.189,26.868,2,3,2,1,3,4,Polluted
4.114,7.275,24.598,1554.839,207.234,27.846,2,3,1,1,3,4,Polluted
3.984,7.551,2.309,1546.237,207.234,27.65,1,3,1,1,3,4,Polluted
4.245,7.275,29.231,1593.548,207.234,27.259,2,3,2,1,3,4,Polluted
4.288,7.248,56.121,1537.634,209.189,27.748,2,3,2,1,3,4,Polluted
4.288,7.275,83.084,283.871,207.234,27.259,2,3,2,3,3,4,Polluted
4.245,7.275,109.974,255.914,207.234,27.455,2,3,2,3,3,4,Polluted
3.984,7.44,136.864,498.925,201.369,27.455,1,3,2,3,3,4,Polluted
4.158,7.248,163.762,264.516,207.234,27.455,2,3,2,3,3,4,Polluted
3.775,7.468,190.668,1546.237,207.234,27.846,1,3,2,1,3,4,Polluted
4.245,7.468,217.574,251.613,213.099,27.65,2,3,2,3,3,4,Polluted
4.288,7.248,244.456,251.613,203.324,27.552,2,3,2,3,3,4,Polluted
4.405,7.248,271.427,1580.645,201.369,26.868,2,3,2,1,3,4,Polluted
4.158,7.275,298.342,270.968,207.234,27.748,2,3,2,3,3,4,Polluted
3.852,7.248,325.248,1544.086,197.459,28.041,1,3,3,1,3,4,Polluted
4.114,7.275,352.227,258.065,193.548,27.65,2,3,3,3,3,4,Unpolluted
4.245,7.248,379.133,245.161,207.234,27.357,2,3,3,3,3,4,Unpolluted
4.288,7.303,406.154,1567.742,209.189,27.161,2,3,3,1,3,4,Polluted
4.158,7.385,100.836,270.968,207.234,27.748,2,3,2,3,3,4,Polluted
3.862,7.303,73.816,511.828,207.234,27.552,1,3,2,4,3,4,Polluted
4.158,7.468,46.836,262.366,207.234,27.259,2,3,2,3,3,4,Polluted
4.158,7.385,19.889,236.559,203.324,27.748,2,3,1,3,3,4,Polluted
4.405,7.44,7.05,518.28,197.459,26.966,2,3,1,4,3,4,Polluted
4.497,7.248,33.964,275.269,218.964,26.868,2,3,2,3,3,4,Polluted
4.027,7.303,60.789,234.409,211.144,27.748,2,3,2,3,3,4,Polluted
3.862,7.275,87.784,262.366,207.234,27.65,1,3,2,3,3,4,Polluted
4.158,7.248,114.682,1548.387,197.459,27.455,2,3,2,1,3,4,Polluted
3.862,7.248,141.58,245.161,203.324,27.748,1,3,2,3,3,4,Polluted
4.071,7.44,168.56,1559.14,203.324,27.943,2,3,2,1,3,4,Polluted
4.158,7.248,195.474,565.591,207.234,27.064,2,3,2,4,3,4,Polluted
3.775,7.248,222.47,434.409,193.548,27.455,1,3,2,3,3,4,Polluted
4.158,7.44,249.376,255.914,211.144,27.65,2,3,2,3,3,4,Polluted
4.245,7.468,276.323,303.226,211.144,27.161,2,3,2,3,3,4,Polluted
4.158,7.44,303.27,264.516,197.459,27.064,2,3,3,3,3,4,Unpolluted
